incident_id,people_involved_type,damage_human,damage_lab,severity,chemicals,cause,narrative_description,lessons_learned,university,source_URL
96,individual,inhalation,chemical release,moderate,guanidine hydrochloride; sodium hypochlorite,human error; lack of training,"A lab worker accidentally mixed plasmid prep lysis buffer containing guanidine hydrochloride with bleach. The incompatible chemicals reacted to release chlorine gas, which the worker inhaled. The worker experienced respiratory irritation but no long-term injury.",Train staff; Handle chemicals carefully; Follow hazardous waste protocols,Duke University,https://www.safety.duke.edu/sites/default/files/Chemical-Incompatibility-Information-Sheet.pdf
97,group,chemical exposure,explosion; chemical release,moderate,nitric acid; isopropyl alcohol,human error; improper waste management; lack of training,"Nitric acid waste and isopropyl alcohol were poured into the same container. The capped bottle pressurized and exploded, splashing three students who required decontamination in emergency showers. Thirteen additional students were exposed to the resulting vapors that filled the room.",Train staff; Handle chemicals carefully; Follow hazardous waste protocols; Use appropriate PPE,Boise State University,https://www.safety.duke.edu/sites/default/files/Chemical-Incompatibility-Information-Sheet.pdf
98,group,burn,explosion; chemical release,major,nitric acid; diethyl ether,human error; improper waste management; lack of training,"A laboratory employee mistakenly poured approximately 24 ml of diethyl ether into a bottle of nitric acid, believing it to be a waste collection vessel. The container exploded, resulting in burn injuries to two students in the lab.",Train staff; Handle chemicals carefully; Follow hazardous waste protocols; Use appropriate PPE,University of Utah,https://www.safety.duke.edu/sites/default/files/Chemical-Incompatibility-Information-Sheet.pdf
99,individual,cut,explosion,moderate,tetrahydrofuran,human error; chemical instability; lack of training,"A graduate student attempted to recycle tetrahydrofuran of uncertain inhibitor content and distilled it under air, favoring peroxide formation. Peroxidized THF detonated during distillation, causing an explosion and lacerations.",Handle chemicals carefully; Follow standard operating procedures; Dispose of unknown or expired substances; Train staff,University of Nebraska,https://www.safety.duke.edu/sites/default/files/Chemical-Incompatibility-Information-Sheet.pdf
100,individual,inhalation; eye injury,none,minor,osmium tetroxide,lack of training; human error,"A researcher diluted small volumes of 4% osmium tetroxide outside of a fume hood. Unaware of the full hazards, the researcher inhaled vapors and suffered eye exposure. Symptoms, including sore throat and blurry vision, appeared the next day, prompting medical attention. The researcher recovered fully.",Train staff; Follow standard operating procedures; Use appropriate PPE; Handle chemicals carefully,"Washington University, St. Louis",https://ehs.wustl.edu/about/safety_topics/
101,group,none,explosion; fire; equipment damage,moderate,none,equipment failure; human error,"Lab workers were charging a FisherBrand pipette controller when they heard a popping sound. After removing it from the charger, the device exploded and caught fire, landing on the floor. No one was injured, and damage was limited to the pipette controller. The likely cause was use of an incompatible charger, which damaged the lithium-ion battery.",Maintain equipment safety features; Store chemicals under safe conditions,"Washington University, St. Louis",https://ehs.wustl.edu/about/safety_topics/
102,individual,eye injury; dermal irritation,none,minor,TRIzol; phenol; guanidine isothiocyanate; ammonium thiocyanate,human error; lack of training,"A researcher preparing an RNA extraction sample with TRIzol removed safety glasses after closing an Eppendorf tube containing the reagent and partially evaporated liquid nitrogen. Pressure buildup from remaining LN? caused the tube to pop open, splashing TRIzol into the researcher’s eyes and onto skin. Immediate eyewash use and rapid emergency response minimized injury to minor eye abrasions and a small skin burn.",Use appropriate PPE; Train staff; Handle chemicals carefully; Follow standard operating procedures,"Washington University, St. Louis",https://ehs.wustl.edu/about/safety_topics/
103,individual,none,explosion; chemical release; equipment damage,moderate,nitric acid; acetone; formalin,human error; improper waste management; chemical instability,"A graduate student added a mixture of nitric acid and acetone to a chemical waste container and sealed it tightly. The container ruptured with violent force, shattering a nearby formalin waste container, breaking the secondary containment tray, and blowing open the cabinet door. No injuries occurred.",Follow hazardous waste protocols; Handle chemicals carefully; Dispose of unknown or expired substances,"Washington University, St. Louis",https://ehs.wustl.edu/about/safety_topics/
104,individual,none,explosion; equipment damage; chemical release; contamination; evacuation,moderate,nitric acid; ethanol; potassium hydroxide,human error; lack of training; improper waste management; chemical instability,"A graduate student, performing the lab’s first experiment with nitric acid without formal protocols, followed a published method that involved rinsing polymer-removed material with ethanol and adding both liquids to a new nitric acid waste container. The container was sealed while the nitric acid and ethanol reacted, generating gas that caused an explosion in the fume hood. The blast damaged fume hood glass, the stock nitric acid container, and a potassium hydroxide waste container, scattering glass and contaminating the area with acid. EHS responded, and the lab was evacuated until cleanup was complete.",Follow hazardous waste protocols; Train staff; Handle chemicals carefully,"Washington University, St. Louis",https://ehs.wustl.edu/about/safety_topics/
105,individual,eye injury,chemical release; evacuation,moderate,"tetrahydrofuran; lithium; alpha,alpha'-dibromo-o-xylene",human error; lack of training; improper handling,"A graduate student was sonicating a reaction mixture containing tetrahydrofuran, lithium dispersion, and alpha,alpha'-dibromo-o-xylene (a potent irritant) in a sonicator on a bench outside of a fume hood. Minutes after starting, the reaction stopper blew out, releasing lachrymator vapors that caused intense eye irritation to the student and the PI. The lab was evacuated, campus police and the fire department responded, and EHS entered the lab in protective gear to move the reaction to a hood and neutralize residues. The incident was attributed to conducting an exothermic reaction in a closed system outside a fume hood without proper venting or controls.",Train staff; Handle chemicals carefully; Follow standard operating procedures; Store chemicals under safe conditions,"Washington University, St. Louis",https://ehs.wustl.edu/about/safety_topics/
106,individual,burn,fire; water damage; equipment damage; evacuation; alarm activation,moderate,hydrogen,equipment failure; human error; lack of training,"A graduate student working alone attempted to heat and taper a fiber optic cable in a hydrogen flame. A hydrogen leak from a valve on the flow meter ignited, producing a large flame. Believing there was a risk of flame back-flash into the cylinder, the student attempted to close the cylinder valve but was forced back by heat, sustaining a small first-degree burn to the wrist. The flame triggered the fire sprinkler, flooding the lab and sounding alarms in the building. Emergency responders extinguished the fire and shut off the hydrogen supply. Secondary hazards included water damage to high-voltage equipment, risk of electrical fires, and cleanup hazards.",Train staff; Follow standard operating procedures; Maintain equipment safety features,"Washington University, St. Louis",https://ehs.wustl.edu/about/safety_topics/
107,group,auditory discomfort,explosion; equipment damage,moderate,none,human error; lack of training,"A graduate student was operating a flow system that included two glass endcaps. While purging with air between tests, the student unplugged and replugged a mass flow controller without shutting off airflow, causing the valve to close and overpressurizing the system. Glass Endcap 2 exploded, sending small glass fragments across the room. No one was injured by glass, but two students sought medical evaluation for possible hearing damage, which was ruled out. The incident was attributed to exceeding the maximum airflow rate without written procedures and to reconnecting equipment while active, leading to overpressure.",Train staff; Follow standard operating procedures; Maintain equipment safety features,"Washington University, St. Louis",https://ehs.wustl.edu/about/safety_topics/
108,group,burn,fire; equipment damage,major,unspecified mixture,human error; lack of training,"A group of undergraduate research students were conducting a heating experiment in a fume hood using a recently revised SOP. Critical information on stirring steps had been accidentally deleted from the SOP, and it had not been reviewed by the supervisor. The mixture overheated and ignited, causing second-degree burns to a student’s hands. PPE was incompleteheat, and oven mitts were used instead. Post-incident testing revealed that the hot plate was malfunctioning, greatly exceeding the intended temperature.",Train staff; Handle chemicals carefully; Use appropriate PPE; Follow standard operating procedures,"University of Washington, Seattle",https://www.ehs.washington.edu/about/latest-news/lessons-learned-chemical-fire
109,group,none,explosion; equipment damage,major,hydrochloric acid; nitric acid; organic solvent,human error; improper waste management; missing label; unknown inventory; lack of training,"Unlabeled organic solvent waste was poured into a 4-liter container of aqua regia (concentrated hydrochloric acid and concentrated nitric acid). The waste container was sealed, and minutes later a whistling sound was followed by a violent explosion. The reaction overpressurized the container, destroying the fume hood and cracking an exterior window. No one was injured.",Practice proper labeling; Maintain updated inventory; Train staff; Follow hazardous waste protocols; Follow standard operating procedures,Ohio State University,https://ehs.osu.edu/news/2022/09/09/bad-day-lab
110,group,none,chemical release; evacuation,moderate,sulfuric acid (suspected); sodium bicarbonate; hydrogen sulfide,human error; improper waste management; unknown inventory; missing label; lack of training,"While cleaning out materials left by a previous graduate student, lab members found secondary containers labeled “acid,” believed to contain sulfuric acid dilutions. They added sodium bicarbonate until gas evolution ceased, then poured the mixture into the sink. After treating several containers, a rotten egg odor (hydrogen sulfide) spread through the lab. Contributing factors included reliance on outdated/incorrect labels, improper waste disposal, and lack of proper cleanout procedures.",Practice proper labeling; Maintain updated inventory; Train staff; Follow hazardous waste protocols,"University of California, Davis",https://safetyservices.ucdavis.edu/lessons-learned/lesson-learned-improper-drain-disposal
111,individual,impact injury,none,near miss,liquid nitrogen,physical conditions; human error,"A full 230 L liquid nitrogen Dewar (~500 lb) was being transported through a building when one caster caught on a doorway threshold, abruptly stopping the Dewar. Due to its high center of gravity and caster positioning, the Dewar tipped over, knocking the user to the ground and temporarily pinning them. The user was not seriously injured, and no damage to the Dewar occurred. The incident was attributed to design factors in caster placement, total weight, and handle positioning. Corrective actions included changing handling methods, removing this Dewar type from service, and emphasizing stable transport equipment.",Handle chemicals carefully; Follow standard operating procedures,"University of California, Davis",https://safetyservices.ucdavis.edu/lessons-learned/transporting-large-dewars
112,individual,dermal irritation,none,minor,formamide; blue dye,human error,"A researcher opened a vial containing 80% formamide with blue dye and found it was more full than expected. Several drops spilled onto the exposed skin of their ankle, which was uncovered due to wearing ankle socks. The researcher immediately washed the area for 15 minutes, contacted EH&S, and sought on-campus medical services. Follow-up revealed no acute health effects. The incident highlighted the importance of ensuring all skin is covered when handling hazardous chemicals and being cautious when opening full vials.",Use appropriate PPE; Handle chemicals carefully; Follow standard operating procedures,"University of California, Davis",https://safetyservices.ucdavis.edu/lessons-learned/lesson-learned-formamide-spill
113,individual,cut,explosion; equipment damage,major,liquid oxygen; liquid nitrogen,human error; lack of training; equipment failure,"An over-pressurized glass vacuum trap exploded on a high vacuum line after a liquid nitrogen dewar was removed during shutdown. Investigation determined that condensed liquid oxygen in the sealed trap rapidly expanded, causing the explosion. The incident caused facial lacerations and major bleeding to a nearby scientist, who was treated at the emergency room and released the same day. The event highlighted the hazards of condensed oxygen in cold traps, the risks of over-pressurization, and the importance of proper shutdown procedures and PPE.",Follow standard operating procedures; Train staff; Maintain equipment safety features; Handle chemicals carefully; Use appropriate PPE,Northwestern University,https://researchsafety.northwestern.edu/safety-information/glass-vacuum-trap-safety-alert.html
114,group,none,chemical release; contamination; equipment damage;lab shutdown,major,methanol; chloroform; acetonitrile; ethyl acetate,human error; improper waste management,"A flammable storage cabinet was accidentally bumped during equipment installation, knocking over a partially full 4 L solvent waste bottle containing methanol, chloroform, acetonitrile, and ethyl acetate. The bottle broke, spilling solvents inside the cabinet and onto the floor. The lab cleaned up most of the spill and left absorbent pads to soak remaining liquid, but initially placed solvent-soaked pads in regular trash rather than labeling them as hazardous waste. The lab was locked and posted off-limits for 48 hours to allow vapors to dissipate, with clearance granted after 72 hours.",Follow hazardous waste protocols; Store chemicals under safe conditions; Maintain updated inventory,"University of California, Davis",https://safetyservices.ucdavis.edu/lessons-learned/lessons-learned-large-solvent-waste-spill
115,individual,none,fire; alarm activation; evacuation,moderate,flammable solvent (unspecified); pyrophoric metal (unspecified),human error; lack of training,"A researcher transferring a flammable solvent into a flask containing a pyrophoric metal briefly turned away, causing the unsecured flask to fall and break in the fume hood. Aware that the pyrophoric metal would ignite, the researcher quickly moved the flask away from nearby flammable solvents and placed it in the sink, where it ignited and triggered the smoke alarm. The lab evacuated and waited for the Fire Department. No injuries occurred, but the incident highlighted the need to remove extraneous flammables before handling pyrophorics, ensure glassware is secure, and train for specific pyrophoric spill fire response.",Store chemicals under safe conditions; Train staff; Follow standard operating procedures,"University of California, Davis",https://safetyservices.ucdavis.edu/lessons-learned/lesson-learned-pyrophoric-metal-fire
116,individual,frostbite,none,moderate,liquid nitrogen,human error; lack of training,"A researcher sustained frostbite burns while transferring liquid nitrogen from a storage dewar to a small container using improvised tools. The lab’s cryogenic gloves were too small, so the researcher wore autoclave gloves instead, which may have been dipped into the liquid nitrogen. Over the next three days, blisters developed on the researcher’s right thumb and index finger, prompting medical treatment. The incident highlighted the importance of having cryogenic gloves in multiple sizes, separating cryogenic PPE from non-cryogenic PPE, ensuring proper cryogen safety training, and reporting injuries immediately.",Use appropriate PPE; Train staff; Follow standard operating procedures,"University of California, Davis",https://safetyservices.ucdavis.edu/lessons-learned/lessons-learned-liquid-nitrogen-burn
117,individual,chemical exposure,none,minor,phosphorus-32,human error,"While working with phosphorus-32, a researcher detected contamination on her left glove during routine Geiger counter monitoring, reading over 100 cpm. After changing gloves, the contamination persisted on her hand (100–200 cpm). Following SafetyNet 37 procedures, she washed her hands multiple times until readings dropped below background. Quick action limited the extremity dose to minimal levels, and no medical treatment was required. The incident demonstrates the value of proper PPE, continuous monitoring, and familiarity with radiation decontamination protocols.",Use appropriate PPE; Follow standard operating procedures; Train staff,"University of California, Davis",https://safetyservices.ucdavis.edu/lessons-learned/phosphorous-spill
118,group,none,chemical release; equipment damage; evacuation,moderate,hexamethyldisilazane,human error; lack of training,"A bottle of hexamethyldisilazane was accidentally dropped, spilling approximately 500 mL onto the lab floor outside of a fume hood. The chemical is highly flammable, toxic on skin contact, and harmful if inhaled. The lab evacuated and awaited the UCD Fire Department Haz-Mat Team and EH&S on-call specialist. The spill was contained and cleaned using spill kit absorbent and additional material from hazardous waste specialists. The lab remained closed for 24 hours to allow vapors to dissipate.",Train staff; Follow standard operating procedures,"University of California, Davis",https://safetyservices.ucdavis.edu/lessons-learned/hexamethyldisilazane-spill
119,group,none,chemical release,minor,beta-mercaptoethanol,human error,"Approximately 50 mL of undiluted beta-mercaptoethanol was accidentally spilled onto the floor of a laboratory. The PI and staff promptly cleaned the spill per the SDS, but the chemical’s pungent odor persisted in the lab and spread into the adjacent hallway. EH&S investigated and found that the lab’s ventilation system was slightly positive relative to the hallway, allowing vapors to escape. Facilities Management corrected the ventilation to ensure negative pressure. No injuries occurred.",Handle chemicals carefully; Train staff; Maintain equipment safety features,"University of California, Davis",https://safetyservices.ucdavis.edu/lessons-learned/bme-spill
120,individual,cut,contamination; evacuation,minor,mercury,improper storage; unknown inventory,"While cleaning a research refrigerator, a student employee cut their finger on broken glass through a nitrile glove. After receiving first aid and resuming work, the employee noticed mercury droplets inside the fridge. They stopped working, informed their supervisor, and access to the space was restricted while EH&S and the UC Davis Fire Department’s HAZMAT team responded. The refrigerator and lab space had been inherited from a previous researcher without proper hazardous material removal or decontamination.",Dispose of unknown or expired substances; Maintain updated inventory; Train staff,"University of California, Davis",https://safetyservices.ucdavis.edu/lessons-learned/mercury-spill-rmi-south
121,individual,none,none,near miss,liquid nitrogen,equipment failure,"A researcher discovered they could not close the valve on a liquid nitrogen dewar in their lab. The personal oxygen monitor indicated oxygen levels were below normal. EHS confirmed oxygen concentration at the lab entrance was 18%, indicating an oxygen-deficient atmosphere. Once the valve was closed, oxygen levels returned to normal. The faulty dewar was replaced, and the group was reminded to evacuate immediately when oxygen monitors alarm and to report faulty equipment to the supplier immediately.",Maintain equipment safety features; Follow standard operating procedures; Store chemicals under safe conditions,Yale University,https://ehs.yale.edu/lessons-learned
122,group,none,explosion; contamination; equipment damage,moderate,ethylene glycol; hydrochloric acid; hydrogen peroxide; nitric acid,human error; improper waste management; chemical instability,"A chemical waste can exploded spraying chemicals within a 10-foot radius. The aluminum bottle was propelled from the floor to the top of the fume hood cabinet, with its bottom ripped off. The waste can was labeled as containing ethylene glycol, but also held hydrochloric acid and was mistakenly mixed with hydrogen peroxide or nitric acid, causing over-pressurization and explosion.",Follow hazardous waste protocols; Store chemicals under safe conditions; Train staff; Handle chemicals carefully,Yale University,https://ehs.yale.edu/lessons-learned
123,group,unknown,explosion; contamination,moderate,sulfuric acid; hydrochloric acid; nitric acid; residual organic solvent,human error; improper waste management; chemical instability,"Three graduate students mixed sulfuric, hydrochloric, and nitric acids in a waste container that may have contained residual organic solvent from rinsing. After adding the acid waste, they tightened the cap, the container over-pressurized, and exploded, injuring the students and damaging the area.",Follow hazardous waste protocols; Store chemicals under safe conditions; Train staff; Handle chemicals carefully,University of Rochester,https://ehs.yale.edu/lessons-learned
124,individual,none,chemical release,near miss,hexanol,human error; improper storage,"A researcher opened a chemical cabinet and a partially filled 1 L bottle of hexanol, stored too close to the edge, fell and broke on the floor. The researcher avoided injury, changed clothes, and went home to shower. Lab safety contacts used a spill kit to absorb the chemical and collect debris for hazardous waste disposal.",Store chemicals under safe conditions; Use appropriate PPE; Maintain updated inventory,University of Chicago,https://researchsafety.uchicago.edu/lessons-learned/chemical/
125,individual,none,equipment damage; chemical release,minor,nitric acid,improper storage; missing label; unknown inventory,"A sealed 25 L drum labeled “Petroleum Ether” was opened in a teaching lab, releasing a green liquid and brown fumes with a strong acidic odor. The material corroded a flammable cabinet and was later identified as nitric acid due to a supplier mislabeling during repackaging. The lab was evacuated, the container was moved to a fume hood, and hazmat disposal arranged.",Practice proper labeling; Maintain updated inventory; Store chemicals under safe conditions,University of Chicago,https://researchsafety.uchicago.edu/lessons-learned/chemical/
126,individual,inhalation,chemical release,minor,sodium hypochlorite; ethanol; chloroform; chlorine gas,human error; lack of training; improper waste management,"A researcher working alone on the weekend added bleach to a vacuum trap flask to treat biohazardous waste, unaware that ethanol residue was present. The bleach reacted with the ethanol, potentially forming chloroform and chlorine gas. The researcher noticed bubbling, opened a window, evacuated, and called the supervisor and UChicago emergency services.",Train staff; Follow hazardous waste protocols,University of Chicago,https://researchsafety.uchicago.edu/lessons-learned/chemical/
127,individual,burn,explosion; fire,major,anhydrous hydrazine,improper handling; human error; chemical instability,"While refluxing anhydrous hydrazine (~120 °C) under nitrogen on a Schlenk line, a researcher added more hydrazine via syringe, causing the three-armed flask to explode. Flames burned their right wrist but no cuts occurred from shattered glass. They decontaminated immediately and reported the incident. The explosion was likely caused by catalytic decomposition of hydrazine at high temperature.",Use appropriate PPE; Follow standard operating procedures; Train staff,University of Chicago,https://researchsafety.uchicago.edu/lessons-learned/chemical/
128,group,chemical exposure; burn,none,moderate,nitric acid; hydrofluoric acid,human error; lack of training,"Two researchers were digesting microcentrifuge tubes of organic material in a sonicator with 99% nitric acid and 1% hydrofluoric acid, a procedure designed for 30–60 minutes. The samples were left running for over 24 hours. Another researcher, unaware the digestion was still active, used the sonicator for an unrelated task. A tube ruptured, spraying acid onto their face and arm. While wearing protective goggles, the victim had exposed skin in areas not covered by PPE. They immediately used an eyewash for the face, rinsed their arm in a sink, and applied calcium gluconate gel before being escorted to the ER for treatment.",Use appropriate PPE; Follow standard operating procedures; Train staff,University of Chicago,https://researchsafety.uchicago.edu/lessons-learned/chemical/
129,group,inhalation,chemical release; contamination; evacuation,moderate,glacial acetic acid; nitric acid; sulfuric acid,improper storage,"While removing a 4 L bottle of glacial acetic acid from an under-hood cabinet, a researcher knocked loose the top shelf, causing it to fall and drop containers of 1% nitric acid and sulfuric acid, which broke. The falling shelf struck the glacial acetic acid bottle. Secondary containment overflowed, and acid spilled onto the floor. Two lab members later sought medical attention for respiratory irritation.",Store chemicals under safe conditions,University of Chicago,https://researchsafety.uchicago.edu/lessons-learned/chemical/
130,individual,chemical exposure,corrosion damage; contamination; equipment damage,moderate,dimethyl sulfate,unknown inventory; missing label,"During a lab safety inspection, an inspector found a corroded, contaminated bottle labeled “Dimethyl Sulf-” in a flammables cabinet. Upon handling it, he realized it contained dimethyl sulfate and felt tingling in his hands. He immediately removed his gloves, washed thoroughly, and switched to heavy-duty nitrile gloves. The chemical was disposed of as hazardous waste.",Maintain updated inventory; Practice proper labeling; Use appropriate PPE,University of Chicago,https://researchsafety.uchicago.edu/lessons-learned/chemical/
131,individual,eye injury,none,moderate,formaldehyde; phenol,human error,"In an instructional laboratory, a student was splashed in the eye with a preservative solution containing formaldehyde and phenol while not wearing eye protection and wearing contact lenses. The lack of PPE went unnoticed by peers and lab staff. The student used the eyewash for 15 minutes, and recovered fully later that day.",Use appropriate PPE,University of Chicago,https://researchsafety.uchicago.edu/lessons-learned/chemical/
132,individual,inhalation,none,near miss,"TRIzol (phenol, guanidine isothiocyanate, ammonium thiocyanate)",human error; equipment failure,"A researcher was working with TRIzol reagent in a fume hood with a broken vertical sash, using only the horizontal panels in the fully open position. The lack of a panel between the work area and the researcher allowed phenolic vapors to escape, leading to symptoms including lightheadedness, shortness of breath, pallor, and numbness in extremities. The researcher left the lab for fresh air, was escorted to Occupational Medicine, and recovered quickly without restrictions.",Use appropriate PPE; Follow standard operating procedures; Maintain equipment safety features,University of Chicago,https://researchsafety.uchicago.edu/lessons-learned/chemical/
133,individual,eye injury,none,moderate,acetic anhydride; acetyl chloride; corrosive byproducts,human error,"While adjusting a rotovap containing acetic anhydride, acetyl chloride, and other corrosive byproducts, a graduate student accidentally hit the rotation speed knob, causing the flask to fall into a 50 °C water bath. Attempting to catch it, they were splashed in the face and eye. Wearing no goggles, they were assisted to an eyewash for 20 minutes before transport to the ER.",Use appropriate PPE; Store chemicals under safe conditions; Follow standard operating procedures,University of Chicago,https://researchsafety.uchicago.edu/lessons-learned/chemical/
134,individual,none,fire,moderate,sodium; isopropanol; heptane,human error,"While quenching sodium metal from a 1 L heptane distillation apparatus, a researcher added ~100 mL of isopropanol via the distillation head, inadvertently shutting off nitrogen flow and creating a closed system. The pressure buildup ignited a fire, which spread across an aisle and onto a lab bench. The fire was extinguished quickly, and no injuries occurred.",Follow standard operating procedures; Use appropriate PPE; Store chemicals under safe conditions,University of Chicago,https://researchsafety.uchicago.edu/lessons-learned/chemical/
135,individual,none,fire,minor,lithium aluminium hydride; ether,human error,"During a LiAlH? reduction of a nitro compound in ether under nitrogen at ?78 °C, removal of the cooling bath to allow warming to room temperature caused pressure buildup. The needle clogged, and the septum was ejected from the round-bottom flask due to high pressure. A fire formed above the reaction vessel, lasting about two minutes. Another researcher observed the fire, alerted others, and obtained a fire extinguisher.",Follow standard operating procedures; Store chemicals under safe conditions,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/lialh4-fire-after-pressure-pushes-out-syringe-needle
136,individual,none,explosion; equipment damage,major,ammonia; nitrogen; oxygen,human error; lack of training,"While condensing ~1 mL of ammonia from a lecture bottle into an 8 mL glass culture tube cooled with liquid nitrogen, the uncapped tube was later capped and removed from the bath. Liquid oxygen had condensed from air into the tube; on warming, rapid expansion/pressure buildup occurred and the tube detonated. No injuries were reported.",Follow standard operating procedures; Handle chemicals carefully; Use appropriate PPE; Train staff,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/liquid-oxygen-condensation
137,individual,chemical exposure,chemical release,minor,formaldehyde,human error; lack of training,"A reaction was scaled up from 1 g to 10 g without fully neutralizing the mixture before extraction in a separatory funnel. Pressure built up during extraction, causing the reaction mixture (containing formaldehyde) to spray over the researcher and lab surfaces. The researcher wore proper PPE, and cleanup was conducted with a respirator due to inhalation hazard.",Train staff; Handle chemicals carefully; Follow standard operating procedures,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/scale-up-accident
138,individual,none,fire,moderate,silane,human error; improper handling,"During a public demonstration involving silane, an uncontrolled vent/fire occurred at 1600 psig, producing a 3 ft flame at the cylinder valve. The experienced presenter attempted to shut off the flow while exposed to intense radiant heat. PPE (Nomex coveralls, hood, face shield) prevented burns. The incident was attributed to ignoring warning signs and deviating from established safety practices.",Follow standard operating procedures; Handle chemicals carefully; Use appropriate PPE,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/external-ler-lucky-to-be-alive
139,individual,none,fire; equipment damage,moderate,lithium aluminum hydride,human error,"While disposing of an old container of lithium aluminum hydride, a researcher attempted to quench the material before packaging. An excessive amount was transferred, creating conditions for a metal fire. The sash was quickly closed, and the laboratory safety officer extinguished the fire with sand. No injuries occurred; minor damage was sustained to a nearby stir/hotplate.",Follow standard operating procedures; Handle chemicals carefully; Use appropriate PPE,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/lah-fire
140,individual,none,fire; equipment damage,moderate,diethyl ether,equipment failure,"A researcher was heating ~150 mL of diethyl ether for recrystallization on a recently repaired, 35-year-old hot plate. Shortly after placing the flask on the plate, ether boiled or bumped out and ignited, likely due to sparks from the hot plate. The fire was mostly contained within the flask, which was removed to the hood floor. Another researcher used a type C extinguisher to put out remaining flames. No injuries occurred.",Handle chemicals carefully; Follow standard operating procedures,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/fire-from-sparking-hot-plate
141,individual,none,equipment damage,near miss,not specified,equipment failure,"While performing a freeze–pump–thaw cycle to remove residual oxygen from a recently distilled solvent, an undergraduate froze the solvent in liquid nitrogen for the second time and applied vacuum. The flask imploded due to a likely pre-existing micro-crack from repeated heating/cooling, breaking the liquid nitrogen dewar and sending glass shards toward the researcher. PPE and the hood sash prevented injury.",Handle chemicals carefully; Maintain equipment safety features; Use appropriate PPE,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/flask-implosion
142,individual,none,none,near miss,liquid nitrogen,human error,"A researcher transporting a 55 L liquid nitrogen dewar alone slipped, causing it to fall on its side. The pressure relief valve opened, venting nitrogen gas for about 10 minutes. The researcher left the area to avoid asphyxiation and called safety personnel, who helped right the dewar.",Handle chemicals carefully; Train staff,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/liquid-nitrogen-dewar-spill
143,individual,auditory discomfort,explosion; equipment damage,moderate,perchloric acid,human error,"While heating a dilute solution of an organic compound with 70% perchloric acid, the acid evaporated, leaving explosive perchlorate salts. The reaction was left unattended and an explosion occurred, damaging the hot plate. A nearby person suffered ringing in the ear but avoided serious injury due to the closed hood sash.",Handle chemicals carefully; Follow standard operating procedures; Train staff,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/perchloric-acid-explosion
144,individual,cut,explosion; equipment damage,moderate,liquid nitrogen,human error,"While cryo-fracturing a porous sample, some of liquid nitrogen was absorbed and transferred into a scintillation vial. The researcher capped the vial, which exploded due to nitrogen gas expansion. Wearing full PPE limited the injury to minor hand scratches.",Handle chemicals carefully; Use appropriate PPE; Follow standard operating procedures; Train staff,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/vial-explosion-by-warming-ln2
145,individual,burn,none,minor,none,human error,"A researcher retrieved autoclaved bottles when the chamber was still around 90 °C. Standing too close to the open door, the researcher was exposed to hot steam, resulting in a minor facial burn outside goggle coverage. PPE and immediate cooling minimized injury.",Use appropriate PPE; Follow standard operating procedures; Train staff,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/hot-autoclave-steam-on-face
146,individual,chemical exposure,none,near miss,unknown,human error,"While running a column with an air-flow adapter, the adapter became stuck and solvent sprayed out when it popped free. The researcher was sprayed in the face but PPE prevented injury. The researcher washed as a precaution.",Use appropriate PPE; Handle chemicals carefully; Follow standard operating procedures,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/column-pressure-spray-on-the-face
147,group,none,none,near miss,DMSO; diethyl ether,equipment failure,"An old hot plate used to heat a water bath overheated despite being set to the desired temperature. The water evaporated, causing overheating of a DMSO reaction flask and resulting in a small blue flame. Nearby diethyl ether did not ignite.",Maintain equipment safety features; Handle chemicals carefully; Store chemicals under safe conditions,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/old-hot-plate-burns-reaction
148,individual,none,fire,minor,tetrahydrofuran; hydrochloric acid,improper waste management; chemical instability,"While cleaning glassware from quenched pyrophoric reactions with THF, dilute HCl, and water, THF vapors in a beaker ignited unexpectedly. The fire was quickly extinguished, no injuries occurred, and no equipment was damaged.",Handle chemicals carefully; Follow hazardous waste protocols; Train staff; Store chemicals under safe conditions,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/fire-while-cleaning-glassware
149,individual,none,equipment damage,near miss,none,human error; lack of training,"An undergraduate set up a water and salt reaction intended to be heated to 30 °C, but the oil bath was mistakenly heated to 130 °C. The sealed round bottom flask built up pressure, causing the septa to pop and shatter the hood light cover. No injuries occurred.",Train staff; Follow standard operating procedures; Maintain equipment safety features,University of Minnesota,https://jst.umn.edu/learning-experience-reports/past-lers/overheating-an-oil-bath
